country,year,access_to_electricity,agricultural_land,co2_emission,arable_land,electric_power_comsumption,forest_area,population_growth,urban_population,GDP
Afghanistan,2020,97.6999969482422,,,,,,,,
Afghanistan,2019,97.6999969482422,,,,,,,,
Afghanistan,2018,96.6161346435547,,,,,,,,
Afghanistan,2017,97.6999969482422,,,,,,,,
Afghanistan,2016,97.6999969482422,,,,,,,,
Afghanistan,2015,71.5,,,,,,,,
Afghanistan,2014,89.5,,,,,,,,
Afghanistan,2013,68.2906494140625,,,,,,,,
Afghanistan,2012,69.0999984741211,,,,,,,,
Afghanistan,2011,43.2220191955566,,,,,,,,
Afghanistan,2010,42.7000007629395,,,,,,,,
Afghanistan,2009,46.7400512695313,,,,,,,,
Afghanistan,2008,42.4000015258789,,,,,,,,
Afghanistan,2007,36.0510101318359,,,,,,,,
Afghanistan,2006,30.7186908721924,,,,,,,,
Afghanistan,2005,25.3908939361572,,,,,,,,
Afghanistan,2004,20.0649681091309,,,,,,,,
Afghanistan,2003,14.7385063171387,,,,,,,,
Afghanistan,2002,9.40915775299072,,,,,,,,
Afghanistan,2001,4.07457399368286,,,,,,,,
Afghanistan,2000,1.61359095573425,,,,,,,,
Afghanistan,1999,,,,,,,,,
Afghanistan,1998,,,,,,,,,
Afghanistan,1997,,,,,,,,,
Afghanistan,1996,,,,,,,,,
Afghanistan,1995,,,,,,,,,
Afghanistan,1994,,,,,,,,,
Afghanistan,1993,,,,,,,,,
Afghanistan,1992,,,,,,,,,
Afghanistan,1991,,,,,,,,,
Afghanistan,1990,,,,,,,,,
Bangladesh,2020,96.1999969482422,,,,,,,,
Bangladesh,2019,92.1999969482422,,,,,,,,
Bangladesh,2018,91.8000030517578,,,,,,,,
Bangladesh,2017,88.0,,,,,,,,
Bangladesh,2016,75.9199981689453,,,,,,,,
Bangladesh,2015,74.9037399291992,,,,,,,,
Bangladesh,2014,62.4000015258789,,,,,,,,
Bangladesh,2013,61.5,,,,,,,,
Bangladesh,2012,66.1555709838867,,,,,,,,
Bangladesh,2011,59.5999984741211,,,,,,,,
Bangladesh,2010,55.2599983215332,,,,,,,,
Bangladesh,2009,57.56884765625,,,,,,,,
Bangladesh,2008,54.7355155944824,,,,,,,,
Bangladesh,2007,46.5,,,,,,,,
Bangladesh,2006,50.5251007080078,,,,,,,,
Bangladesh,2005,44.2299995422363,,,,,,,,
Bangladesh,2004,40.5999984741211,,,,,,,,
Bangladesh,2003,40.6642608642578,,,,,,,,
Bangladesh,2002,37.8510704040527,,,,,,,,
Bangladesh,2001,35.0326461791992,,,,,,,,
Bangladesh,2000,32.0,,,,,,,,
Bangladesh,1999,29.5402145385742,,,,,,,,
Bangladesh,1998,26.7461929321289,,,,,,,,
Bangladesh,1997,22.4,,,,,,,,
Bangladesh,1996,21.1443862915039,,,,,,,,
Bangladesh,1995,18.3380451202393,,,,,,,,
Bangladesh,1994,17.8,,,,,,,,
Bangladesh,1993,12.7178802490234,,,,,,,,
Bangladesh,1992,9.90541934967041,,,,,,,,
Bangladesh,1991,14.29,,,,,,,,
Bangladesh,1990,,,,,,,,,
China,2020,100.0,,,,,,,,
China,2019,100.0,,,,,,,,
China,2018,100.0,,,,,,,,
China,2017,100.0,,,,,,,,
China,2016,100.0,,,,,,,,
China,2015,100.0,,,,,,,,
China,2014,100.0,,,,,,,,
China,2013,99.9964447021484,,,,,,,,
China,2012,99.9619293212891,,,,,,,,
China,2011,99.8487243652344,,,,,,,,
China,2010,99.6999969482422,,,,,,,,
China,2009,99.2089004516602,,,,,,,,
China,2008,98.9505767822266,,,,,,,,
China,2007,98.7022018432617,,,,,,,,
China,2006,98.461051940918,,,,,,,,
China,2005,98.2244262695313,,,,,,,,
China,2004,97.9896697998047,,,,,,,,
China,2003,97.7543792724609,,,,,,,,
China,2002,97.5162048339844,,,,,,,,
China,2001,97.2727890014648,,,,,,,,
China,2000,97.0217971801758,,,,,,,,
China,1999,,,,,,,,,
China,1998,,,,,,,,,
China,1997,,,,,,,,,
China,1996,,,,,,,,,
China,1995,,,,,,,,,
China,1994,,,,,,,,,
China,1993,,,,,,,,,
China,1992,,,,,,,,,
China,1991,,,,,,,,,
China,1990,,,,,,,,,
United Kingdom,2020,100.0,,,,,,,,
United Kingdom,2019,100.0,,,,,,,,
United Kingdom,2018,100.0,,,,,,,,
United Kingdom,2017,100.0,,,,,,,,
United Kingdom,2016,100.0,,,,,,,,
United Kingdom,2015,100.0,,,,,,,,
United Kingdom,2014,100.0,,,,,,,,
United Kingdom,2013,100.0,,,,,,,,
United Kingdom,2012,100.0,,,,,,,,
United Kingdom,2011,100.0,,,,,,,,
United Kingdom,2010,100.0,,,,,,,,
United Kingdom,2009,100.0,,,,,,,,
United Kingdom,2008,100.0,,,,,,,,
United Kingdom,2007,100.0,,,,,,,,
United Kingdom,2006,100.0,,,,,,,,
United Kingdom,2005,100.0,,,,,,,,
United Kingdom,2004,100.0,,,,,,,,
United Kingdom,2003,100.0,,,,,,,,
United Kingdom,2002,100.0,,,,,,,,
United Kingdom,2001,100.0,,,,,,,,
United Kingdom,2000,100.0,,,,,,,,
United Kingdom,1999,100.0,,,,,,,,
United Kingdom,1998,100.0,,,,,,,,
United Kingdom,1997,100.0,,,,,,,,
United Kingdom,1996,100.0,,,,,,,,
United Kingdom,1995,100.0,,,,,,,,
United Kingdom,1994,100.0,,,,,,,,
United Kingdom,1993,100.0,,,,,,,,
United Kingdom,1992,100.0,,,,,,,,
United Kingdom,1991,100.0,,,,,,,,
United Kingdom,1990,100.0,,,,,,,,
India,2020,99.0,,,,,,,,
India,2019,97.3082656860352,,,,,,,,
India,2018,95.6999969482422,,,,,,,,
India,2017,92.1249465942383,,,,,,,,
India,2016,89.2177963256836,,,,,,,,
India,2015,88.0,,,,,,,,
India,2014,83.8724975585938,,,,,,,,
India,2013,81.9993286132813,,,,,,,,
India,2012,79.9000015258789,,,,,,,,
India,2011,67.5999984741211,,,,,,,,
India,2010,76.3000030517578,,,,,,,,
India,2009,75.0,,,,,,,,
India,2008,72.8993835449219,,,,,,,,
India,2007,71.1198654174805,,,,,,,,
India,2006,67.9000015258789,,,,,,,,
India,2005,67.5798110961914,,,,,,,,
India,2004,64.4000015258789,,,,,,,,
India,2003,64.0474853515625,,,,,,,,
India,2002,62.2999992370605,,,,,,,,
India,2001,55.7999992370605,,,,,,,,
India,2000,58.7214736938477,,,,,,,,
India,1999,60.1,,,,,,,,
India,1998,56.1821327209473,,,,,,,,
India,1997,54.5948638916016,,,,,,,,
India,1996,53.0035209655762,,,,,,,,
India,1995,51.4087753295898,,,,,,,,
India,1994,49.8113098144531,,,,,,,,
India,1993,50.9,,,,,,,,
India,1992,,,,,,,,,
India,1991,,,,,,,,,
India,1990,,,,,,,,,
"Iran, Islamic Rep.",2020,100.0,,,,,,,,
"Iran, Islamic Rep.",2019,100.0,,,,,,,,
"Iran, Islamic Rep.",2018,100.0,,,,,,,,
"Iran, Islamic Rep.",2017,99.9400024414063,,,,,,,,
"Iran, Islamic Rep.",2016,99.9499969482422,,,,,,,,
"Iran, Islamic Rep.",2015,99.9599990844727,,,,,,,,
"Iran, Islamic Rep.",2014,100.0,,,,,,,,
"Iran, Islamic Rep.",2013,99.8300018310547,,,,,,,,
"Iran, Islamic Rep.",2012,99.6432800292969,,,,,,,,
"Iran, Islamic Rep.",2011,99.5726470947266,,,,,,,,
"Iran, Islamic Rep.",2010,99.4910430908203,,,,,,,,
"Iran, Islamic Rep.",2009,99.7099990844727,,,,,,,,
"Iran, Islamic Rep.",2008,98.8310470581055,,,,,,,,
"Iran, Islamic Rep.",2007,98.7220993041992,,,,,,,,
"Iran, Islamic Rep.",2006,98.4000015258789,,,,,,,,
"Iran, Islamic Rep.",2005,98.523193359375,,,,,,,,
"Iran, Islamic Rep.",2004,98.4278793334961,,,,,,,,
"Iran, Islamic Rep.",2003,98.3320236206055,,,,,,,,
"Iran, Islamic Rep.",2002,98.2332763671875,,,,,,,,
"Iran, Islamic Rep.",2001,98.1293029785156,,,,,,,,
"Iran, Islamic Rep.",2000,97.9000015258789,,,,,,,,
"Iran, Islamic Rep.",1999,,,,,,,,,
"Iran, Islamic Rep.",1998,,,,,,,,,
"Iran, Islamic Rep.",1997,,,,,,,,,
"Iran, Islamic Rep.",1996,,,,,,,,,
"Iran, Islamic Rep.",1995,,,,,,,,,
"Iran, Islamic Rep.",1994,,,,,,,,,
"Iran, Islamic Rep.",1993,,,,,,,,,
"Iran, Islamic Rep.",1992,,,,,,,,,
"Iran, Islamic Rep.",1991,,,,,,,,,
"Iran, Islamic Rep.",1990,,,,,,,,,
Kuwait,2020,100.0,,,,,,,,
Kuwait,2019,100.0,,,,,,,,
Kuwait,2018,100.0,,,,,,,,
Kuwait,2017,100.0,,,,,,,,
Kuwait,2016,100.0,,,,,,,,
Kuwait,2015,100.0,,,,,,,,
Kuwait,2014,100.0,,,,,,,,
Kuwait,2013,100.0,,,,,,,,
Kuwait,2012,100.0,,,,,,,,
Kuwait,2011,100.0,,,,,,,,
Kuwait,2010,100.0,,,,,,,,
Kuwait,2009,100.0,,,,,,,,
Kuwait,2008,100.0,,,,,,,,
Kuwait,2007,100.0,,,,,,,,
Kuwait,2006,100.0,,,,,,,,
Kuwait,2005,100.0,,,,,,,,
Kuwait,2004,100.0,,,,,,,,
Kuwait,2003,100.0,,,,,,,,
Kuwait,2002,100.0,,,,,,,,
Kuwait,2001,100.0,,,,,,,,
Kuwait,2000,100.0,,,,,,,,
Kuwait,1999,100.0,,,,,,,,
Kuwait,1998,100.0,,,,,,,,
Kuwait,1997,100.0,,,,,,,,
Kuwait,1996,100.0,,,,,,,,
Kuwait,1995,100.0,,,,,,,,
Kuwait,1994,100.0,,,,,,,,
Kuwait,1993,100.0,,,,,,,,
Kuwait,1992,100.0,,,,,,,,
Kuwait,1991,100.0,,,,,,,,
Kuwait,1990,100.0,,,,,,,,
Pakistan,2020,75.3796920776367,,,,,,,,
Pakistan,2019,74.1276931762695,,,,,,,,
Pakistan,2018,72.7831039428711,,,,,,,,
Pakistan,2017,70.7900009155273,,,,,,,,
Pakistan,2016,71.5502243041992,,,,,,,,
Pakistan,2015,71.3815460205078,,,,,,,,
Pakistan,2014,71.224739074707,,,,,,,,
Pakistan,2013,71.0827713012695,,,,,,,,
